a	A
aid	bantuan
aide	pembantu
aided	dibantu
aider	pembantu
aiders	pembantu
aides	asisten
aiding	membantu
aids	AIDS
aiguille	jarum
aikido	aikido
ail	bersakit
ailanthus	ailanthus.dll
ailed	sakit
aileron	kemudi guling
ailerons	sayap kemudi
ailing	sakit
ailment	penyakit
ailments	penyakit
ails	sakit
aim	tujuan
aimed	bertujuan
aiming	membidik
aimless	tanpa tujuan
aimlessly	tanpa tujuan
aimlessness	tanpa tujuan
aims	tujuan
ain	ain
aioli	aioli
air	udara
airbag	kantung udara
airbags	kantung udara
airbase	pangkalan udara
airbases	pangkalan udara
airbed	kasur angin
airbeds	kasur angin
airboat	perahu udara
airborne	terbang
airbrush	airbrush
airbrushed	disemprot dengan airbrush
airbrushes	kuas semprot
airbrushing	airbrushing
airburst	ledakan udara
airbus	Airbus
aircraft	pesawat terbang
aircrew	awak pesawat
aircrews	awak pesawat
airdrop	pengiriman udara
aired	ditayangkan
airfare	tiket pesawat
airfares	harga tiket pesawat
airfield	lapangan terbang
airfields	lapangan terbang
airflow	aliran udara
airfoil	sayap pesawat
airfoils	sayap pesawat
airframe	badan pesawat
airframes	rangka pesawat
airfreight	pengiriman udara
airglow	cahaya udara
airgun	senapan angin
airguns	senapan angin
airhead	orang bodoh
airheads	orang bodoh
airily	dengan ringan
airiness	kelegaan
airing	menayangkan
airings	penayangan
airless	tanpa udara
airlift	pengangkutan udara
airlifted	diangkut melalui udara
airlifting	pengangkutan udara
airlifts	pengangkutan udara
airlike	seperti udara
airline	perusahaan penerbangan
airliner	pesawat penumpang
airliners	pesawat penumpang
airlines	maskapai penerbangan
airlock	ruang kedap udara
airlocks	pintu kedap udara
airmail	pos udara
airman	pilot
airmen	penerbang
airmobile	mobil udara
airplane	pesawat terbang
airplanes	pesawat terbang
airplay	pemutaran di radio
airport	bandara
airports	bandara
airpower	kekuatan udara
airs	udara
airscrew	baling-baling udara
airship	pesawat udara
airships	pesawat udara
airshow	pertunjukan udara
airshows	pertunjukan udara
airspace	wilayah udara
airspeed	kecepatan udara
airspeeds	kecepatan udara
airstream	Airstream
airstrike	serangan udara
airstrikes	serangan udara
airstrip	landasan pacu
airstrips	landasan pacu
airt	airt
airtight	kedap udara
airtime	waktu bicara
airwave	gelombang udara
airwaves	gelombang udara
airway	saluran udara
airways	saluran pernapasan
airworthiness	kelaikan terbang
airworthy	layak udara
airy	lapang
ais	ais
aisle	lorong
aisles	lorong-lorong
ait	ait
aitch	aitch
ajar	terbuka sedikit
aka	alias
akimbo	dgn bertolak pinggang
akin	sama
al	al
ala	ala
alabaster	pualam
alack	kurang
alacrity	kesigapan
alae	alae
alameda	Alameda
alanine	alanin
alar	alar
alarm	alarm
alarmed	khawatir
alarming	menggelisahkan
alarmingly	mengkhawatirkan
alarmist	pengkhawatir
alarmists	para pengkhawatir
alarms	alarm
alary	alary
alas	Sayang
alb	alb
alba	alba
albacore	albacore
albatross	elang laut
albatrosses	albatros
albedo	albedo
albeit	walaupun
albinism	albinisme
albino	albino
albinos	albino
albite	albite
albs	albs
album	album
albumen	albumen
albumin	albumin
albuminoid	albuminoid
albuminoids	albuminoid
albuminous	albumin
albuminuria	albuminuria
albums	album
alcalde	walikota
alcazar	alcazar
alchemic	bersifat alkimia
alchemical	alkimia
alchemist	ahli alkimia
alchemists	para alkemis
alchemy	alkimia
alcohol	alkohol
alcoholic	pecandu alkohol
alcoholics	pecandu alkohol
alcoholism	alkoholisme
alcohols	alkohol
alcove	ceruk
alcoves	ceruk
aldehyde	aldehida
aldehydes	aldehida
alder	alder
alderman	anggota dewan kota
aldermen	anggota dewan kota
alders	pohon alder
alderwoman	anggota dewan kota
aldol	aldol
aldose	aldose
aldosterone	aldosteron
aldrin	aldrin
ale	bir
aleatory	tdk sengaja
alee	menuju searah dgn angin
alehouse	rumah minum bir
alembic	alembik
aleph	aleph
alert	peringatan
alerted	diberi tahu
alerting	memberi peringatan
alertly	dengan waspada
alertness	kewaspadaan
alerts	peringatan
ales	bir
aleurone	aleuron
alewife	pemilik rumah bir
alewives	ikan alewife
alexandrine	alexandrine
alexandrite	alexandrite
alexia	Alexia
alfalfa	alfalfa
alfresco	di tempat terbuka
alg	alg
alga	ganggang
algae	alga
algal	alga
algebra	aljabar
algebraic	aljabar
algebraical	bersifat aljabar
algebraically	secara aljabar
algebraist	ahli ilmu aljabar
algebras	aljabar
alginate	alginat
algor	algor
algorithm	algoritma
algorithmic	algoritmik
algorithmically	secara algoritmik
algorithms	algoritma
alias	alias
aliased	alias
aliases	alias
aliasing	aliasing
alibi	alibi
alibis	alibi
alicyclic	alisiklik
alien	asing
alienable	dapat dialihkan
alienage	alien
alienate	menjauhkan
alienated	terasing
alienates	mengasingkan
alienating	mengasingkan
alienation	pengasingan
alienist	ahli penyakit jiwa
aliens	alien
alight	turun
alighted	turun
alighting	penurunan
alights	turun
align	meluruskan
aligned	selaras
aligner	alat pelurus rambut
aligners	alat pelurus rambut
aligning	deretan
alignment	penyelarasan
alignments	penyelarasan
aligns	menyelaraskan
alike	sama
aliment	makanan
alimentary	makanan
alimentation	makanan
aliments	makanan
alimony	alimentasi
aliphatic	alifatik
aliquot	alikuot
aliquots	alikuot
alive	hidup
aliveness	keberlangsungan hidup
aliyah	aliyah
alizarin	alizarin
alk	alk
alkali	alkali
alkalies	alkali
alkaline	basa
alkalinity	alkalinitas
alkalis	alkali
alkaloid	alkaloid
alkaloids	alkaloid
alkalosis	alkalosis
alkane	alkana
alkanes	alkana
alkene	alkena
alkenes	alkena
alkyd	alkid
alkyl	alkil
alkylation	alkilasi
alkyne	alkuna
all	semua
allantois	allantois
allay	menenangkan
allayed	meredakan
allaying	meredakan
allays	meredakan
allee	allee
allegation	dugaan
allegations	tuduhan
allege	mengatakan
alleged	diduga
allegedly	diduga
alleges	menuduh
allegiance	kesetiaan
allegiances	kesetiaan
alleging	menuduh
allegorical	alegoris
allegorically	secara alegoris
allegories	alegori
allegory	alegori
allegretto	allegretto
allegro	alegro
allele	alel
alleles	alel
allelic	alelik
allelopathic	alelopati
allelopathy	alelopati
alleluia	haleluya
allemande	Jerman
allergen	alergen
allergenic	alergi
allergenicity	alergenitas
allergens	alergen
allergic	alergi
allergies	alergi
allergist	ahli alergi
allergists	ahli alergi
allergy	alergi
alleviate	meringankan
alleviated	diringankan
alleviates	meredakan
alleviating	meringankan
alleviation	pengurangan
alley	gang
alleys	gang-gang
alleyway	gang
alleyways	lorong-lorong
alliance	persekutuan
alliances	aliansi
allied	sekutu
allies	sekutu
alligator	buaya
alligators	buaya
alliteration	aliterasi
alliterative	aliteratif
allium	bawang-bawangan
allocable	dapat dialokasikan
allocatable	dapat dialokasikan
allocate	mengalokasikan
allocated	dialokasikan
allocates	mengalokasikan
allocating	mengalokasikan
allocation	alokasi
allocations	alokasi
allocator	pengalokasi
allocators	pengalokasi
allochthonous	alokton
allocution	pidato
allometry	alometri
allopathic	alopati
allopathy	alopati
allopatric	alopatrik
allophone	alofon
allophones	alofon
allot	membagikan
allotment	peruntukan
allotments	jatah
allotropic	alotropik
allots	mengalokasikan
allotted	dialokasikan
allottee	penyewa
allotting	mengalokasikan
allover	di seluruh
allow	mengizinkan
allowable	diperbolehkan
allowance	uang saku
allowances	tunjangan
allowed	diizinkan
allowing	mengizinkan
allows	memungkinkan
alloy	paduan
alloyed	paduan
alloying	paduan
alloys	paduan
allspice	rempah-rempah
allude	menyinggung
alluded	menyinggung
alludes	mengisyaratkan
alluding	mengacu pada
allure	daya tarik
allured	terpikat
allurement	godaan
allurements	daya tarik
allures	daya tarik
alluring	menarik
allusion	kiasan
allusions	kiasan
allusive	beribarat
alluvial	aluvial
alluvium	aluvium
ally	sekutu
allying	bersekutu
allyl	allyl
almanac	almanak
almanacs	almanak
almandine	almandin
almighty	mahakuasa
almond	badam
almonds	kacang almond
almoner	orang sedekah
almost	hampir
alms	sedekah
almshouse	rumah amal
almshouses	rumah amal
aloe	lidah buaya
aloes	lidah buaya
aloft	tinggi
aloha	aloha
alone	sendiri
aloneness	kesendirian
along	bersama
alongshore	di sepanjang pantai
alongside	di samping
aloof	jauh
aloofness	sikap acuh tak acuh
alopecia	alopecia
aloud	nyaring
alow	rendah
alp	puncak gunung
alpaca	alpaka
alpacas	alpaka
alpenglow	cahaya alpen
alpha	alfa
alphabet	alfabet
alphabetic	alfabetis
alphabetical	alfabetis
alphabetically	secara alfabetis
alphabetize	mengabjadkan
alphabetized	diurutkan berdasarkan abjad
alphabetizing	mengurutkan berdasarkan abjad
alphabets	alfabet
alphameric	alfamerik
alphanumeric	alfanumerik
alphanumerical	alfanumerik
alphas	alfa
alpine	pegunungan Alpen
alpines	pegunungan Alpen
alpinist	orang pandai mendaki gunung
alps	pegunungan Alpen
already	sudah
alright	Baiklah
also	Juga
alt	alternatif
altar	altar
altarpiece	altar
altarpieces	altar
altars	altar
altazimuth	altazimut
alter	mengubah
alterable	dapat diubah
alteration	perubahan
alterations	perubahan
alterative	alternatif
altercation	pertengkaran
altercations	pertikaian
altered	diubah
altering	mengubah
alternate	bergantian
alternated	bergantian
alternately	bergantian
alternates	alternatif
alternating	bergantian
alternation	alternasi
alternations	pergantian
alternative	alternatif
alternatively	alternatifnya
alternatives	alternatif
alternator	alternator
alternators	alternator
alters	mengubah
although	meskipun
altimeter	alat pengukur tinggi
altimeters	altimeter
altimetry	altimetri
altiplano	dataran tinggi
altissimo	sangat tinggi
altitude	ketinggian
altitudes	ketinggian
altitudinal	ketinggian
alto	alto
altocumulus	altocumulus
altogether	sama sekali
altos	alto
altruism	altruisme
altruist	altruis
altruistic	altruistis
altruistically	secara altruistik
altruists	orang-orang altruis
alts	alternatif
alula	alula
alum	tawas
alumina	alumina
aluminate	aluminat
aluminized	dilapisi aluminium
aluminous	aluminous
aluminum	aluminium
alumna	lulusan
alumnae	alumni
alumni	alumni
alumnus	lulusan
alums	alumni
alveolar	alveolar
alveoli	alveoli
alveolus	alveolus
always	selalu
alyssum	alyssum
am	pagi
amadou	amadou
amain	dgn cepat
amalgam	campuran
amalgamate	menggabungkan
amalgamated	digabungkan
amalgamating	menggabungkan
amalgamation	penggabungan
amalgamations	penggabungan
amalgams	amalgam
amandine	amandine
amanita	amanita
amanuensis	juru tulis
amaranth	amaranth
amaretto	amaretto
amaryllis	bunga amarilis
amass	mengumpulkan
amassed	terkumpul
amasses	mengumpulkan
amassing	mengumpulkan
amateur	amatir
amateurish	kurang baik
amateurism	sifat amatir
amateurs	amatir
amatory	dgn kasih sayang
amaurosis	amaurosis
amaze	menakjubkan
amazed	terkagum-kagum
amazement	keheranan
amazes	menakjubkan
amazing	luar biasa
amazingly	luar biasa
amazon	Amazon
amazonian	orang Amazon
amazonite	amazonit
amazons	Amazon
ambassador	duta besar
ambassadorial	duta besar
ambassadors	duta besar
amber	amber
ambergris	ambar
amberjack	burung tambak
ambiance	suasana
ambiances	suasana
ambidextrous	sangat pandai
ambience	suasana
ambient	lingkungan sekitar
ambiguities	ambiguitas
ambiguity	kemenduaan
ambiguous	ambigu
ambiguously	ambigu
ambit	lingkup
ambition	ambisi
ambitions	ambisi
ambitious	ambisius
ambitiously	ambisius
ambivalence	ambivalensi
ambivalent	ambivalen
amble	berjalan seenaknya
ambled	berjalan santai
ambler	ambler
ambles	berjalan-jalan
ambling	berjalan santai
amblyopia	ambliopia
ambo	ambulans
ambos	ambos
ambrosia	ambrosia
ambrosial	nikmat
ambry	lemari
ambulance	ambulans
ambulances	ambulans
ambulant	berjalan
ambulate	berjalan
ambulation	berjalan
ambulatory	rawat jalan
ambuscade	penyergapan
ambush	penyergapan
ambushed	disergap
ambushes	penyergapan
ambushing	penyergapan
ameba	amoeba
amebic	amuba
ameliorate	memperbaiki
ameliorated	membaik
ameliorates	memperbaiki
ameliorating	memperbaiki
amelioration	perbaikan
ameliorative	bersifat memperbaiki
amen	Amin
amenability	tanggungan
amenable	menerima
amend	mengubah
amendable	yg dpt diperbaiki
amendatory	amandemen
amended	diubah
amending	mengubah
amendment	amandemen
amendments	amandemen
amends	perubahan
amenities	fasilitas
amenity	fasilitas
amenorrhea	amenore
ament	ament
americium	amerisium
amethyst	kecubung
amethysts	batu kecubung
ami	teman
amiability	keramahan
amiable	ramah
amiably	dengan ramah
amicable	ramah tamah
amicably	dengan ramah
amid	di tengah
amidase	amidase
amide	amida
amides	amida
amidships	di bagian tengah kapal
amidst	di tengah
amie	Amie
amigo	teman
amigos	teman-teman
amine	amina
amines	amina
amino	amino
aminopyrine	aminopirin
amir	amir
amirs	amirs
amiss	salah
amitriptyline	amitriptilin
amity	persahabatan
ammeter	pengukur amper
ammeters	ammeter
ammo	amunisi
ammonia	amonia
ammoniac	amonia
ammoniacal	amoniakal
ammonite	amonit
ammonites	amonit
ammonium	amonium
ammunition	amunisi
amnesia	amnesia
amnesiac	amnesia
amnesic	amnesia
amnestic	amnesia
amnesties	amnesti
amnesty	amnesti
amnio	amnio
amniocentesis	amniosentesis
amnion	amnion
amniotic	cairan amnion
amoeba	amuba
amoebae	amoeba
amoebas	amoeba
amoebic	amuba
amoeboid	ameboid
amok	amuk
among	di antara
amontillado	amontillado
amoral	tidak bermoral
amorality	amoralitas
amoroso	cinta
amorous	asmara
amorphous	amorf
amortizable	dapat diamortisasi
amortization	amortisasi
amortizations	amortisasi
amortize	mengamortisasi
amortized	diamortisasi
amortizes	mengamortisasi
amortizing	mengamortisasi
amount	jumlah
amounted	berjumlah
amounting	berjumlah
amounts	jumlah
amour	cinta
amours	cinta
amoxicillin	amoksisilin
amp	amp
amperage	arus listrik
ampere	amper
amperes	ampere
ampersand	tanda ampersand
ampersands	tanda ampersand
amphetamine	amfetamin
amphetamines	amfetamin
amphibian	amfibi
amphibians	amfibi
amphibious	amfibi
amphibole	amfibol
amphiboles	amfibol
amphibolite	amfibolit
amphibolites	amfibolit
amphioxus	amphioxus
amphipod	amfipoda
amphipods	amfipoda
amphitheater	ampiteater
amphitheaters	amfiteater
amphora	bejana Yunani
amphorae	amfora
amphoteric	amfoterik
ampicillin	ampisilin
ample	cukup
ampler	lebih luas
amplification	amplifikasi
amplifications	amplifikasi
amplified	diperkuat
amplifier	penguat
amplifiers	penguat
amplifies	memperkuat
amplify	memperkuat
amplifying	memperkuat
amplitude	amplitudo
amplitudes	amplitudo
amply	cukup
ampoule	ampul
ampoules	ampul
amps	ampere
ampule	ampul
ampules	ampul
ampulla	ampula
ampullae	ampula
amputate	mengamputasi
amputated	diamputasi
amputating	mengamputasi
amputation	amputasi
amputations	amputasi
amputee	penyandang amputasi
amputees	orang yang diamputasi
amrita	amrita
amt	jumlah
amu	amu
amuck	amuk
amulet	jimat
amulets	jimat
amuse	menghibur
amused	terhibur
amusement	hiburan
amusements	hiburan
amuses	menghibur
amusing	menyenangkan
amusingly	lucu
amygdala	amigdala
amygdaloid	amigdala
amyl	amil
amylase	amilase
amyloid	amiloid
amylopectin	amilopektin
amylose	amilosa
an	sebuah
ana	ana
anabaena	anabaena
anabasis	anabasis
anabolic	anabolik
anabolism	anabolisme
anachronism	anakhronisme
anachronisms	anakronisme
anachronistic	anakronistik
anaconda	ular anaconda
anacondas	anaconda
anacrusis	anacrusis
anadromous	anadromus
anaerobe	anaerob
anaerobes	anaerob
anaerobic	anaerobik
anaerobically	secara anaerobik
anaglyph	anaglif
anaglyphs	anaglif
anagram	anagram
anagrams	anagram
anal	anal
analecta	analekta
analects	kumpulan kesusasteraan
analgesia	analgesia
analgesic	analgesik
analgesics	obat pereda nyeri
anally	secara anal
analog	analog
analogical	analogis
analogically	secara analogis
analogies	analogi
analogized	analogis
analogous	sejalan
analogously	secara analogis
analogs	analog
analogue	analog
analogues	analog
analogy	analogi
analysand	analis
analyses	analisis
analysis	analisa
analyst	analis
analysts	analis
analytic	analitik
analytical	analitis
analytically	secara analitis
analytics	analitik
analyzable	dapat dianalisis
analyze	menganalisa
analyzed	dianalisis
analyzer	penganalisis
analyzers	penganalisis
analyzes	menganalisis
analyzing	menganalisis
anamnesis	anamnesis
anamorphic	anamorfik
anaphase	anafase
anaphora	anafora
anaphoric	anaforis
anaphylaxis	anafilaksis
anaplastic	anaplastik
anarch	anarkis
anarchic	anarkis
anarchical	anarkis
anarchism	anarkisme
anarchist	anarkis
anarchistic	anarkis
anarchists	kaum anarkis
anarchy	anarki
anas	anas
anasarca	anasarka
anastomose	anastomosis
anastomosed	dihubungkan
anastomoses	anastomosis
anastomosing	beranastomosis
anastomosis	anastomosis
anat	anat
anatase	anatase
anathema	laknat
anathemas	kutukan
anathematized	dikutuk
anatomic	anatomis
anatomical	anatomis
anatomically	secara anatomi
anatomist	ahli anatomi
anatomists	ahli anatomi
anatomy	anatomi
ancestor	leluhur
ancestors	leluhur
ancestral	leluhur
ancestress	nenek moyang perempuan
ancestries	silsilah
ancestry	keturunan
anchor	jangkar
anchorage	pelabuhan
anchorages	tempat berlabuh
anchored	berlabuh
anchoress	pertapa perempuan
anchoring	penjangkaran
anchorite	pendeta
anchorites	pertapa
anchorman	pembawa berita
anchors	jangkar
anchorwoman	pembawa berita wanita
anchovies	ikan teri
anchovy	ikan teri
ancient	kuno
anciently	zaman dahulu kala
ancients	orang-orang kuno
ancilla	ancilla
ancillaries	perlengkapan tambahan
ancillary	tambahan
ancon	ancon
ancona	ancona
and	Dan
andalusite	Andalusit
andante	andante
andantino	andantino
andesite	andesit
andesites	andesit
andirons	penyangga perapian
androgen	androgen
androgenic	androgenik
androgyne	androgini
androgynous	berkelamin dua
androgyny	androgini
android	Android
androids	android
androsterone	androsteron
ane	ane
anecdotage	anekdot
anecdotal	anekdot
anecdotally	secara anekdot
anecdote	anekdot
anecdotes	anekdot
anechoic	anekoik
anele	anele
anemia	anemia
anemic	anemia
anemometer	alat pengukur jurusan angin
anemometers	anemometer
anemone	anemon
